#;Number;Year;Month;Date;Customer;Net amount;Tax;Total amount
24;24;2004;1;2004-01-12;BASLBZ TOJQBQQKVN;132,560;10,940;143,500
25;25;2004;1;2004-01-19;YFZWDP FMRDZHLJVN;263,500;21,740;285,240
26;26;2004;1;2004-01-31;MNEIRI PUSKIGEOWR;359,030;29,620;388,650
27;27;2004;1;2004-01-10;ZEVRQT OHIARMJAOQ;346,220;28,560;374,780
28;28;2004;1;2004-01-02;GQWHOW IPRUCOOYOQ;183,090;15,100;198,190
29;29;2004;1;2004-01-08;AIOMCT CMHNCJDLUN;28,040;2,310;30,350
30;30;2004;1;2004-01-15;AYGVGE SMSKOAYJRA;330,710;27,280;357,990
31;31;2004;1;2004-01-08;MCTGAY MAMLOZJUER;250,390;20,660;271,050
32;32;2004;1;2004-01-18;FPWOZP JZPHNWPBKK;152,090;12,550;164,640
33;33;2004;1;2004-01-22;MBUYZN VZGWNWAQSJ;258,360;21,310;279,670
34;34;2004;1;2004-01-20;UWQOBC UCKZVPDQNV;207,410;17,110;224,520
35;35;2004;1;2004-01-06;DPTHPQ MFFERFMNJB;280,130;23,110;303,240
36;36;2004;1;2004-01-28;OZKCAM KEJXNLPOVH;62,860;5,190;68,050
37;37;2004;1;2004-01-08;VRXMOY QOWIACWGSC;220,580;18,200;238,780
38;38;2004;1;2004-01-15;KFWBIM VGTJDYRBRJ;318,200;26,250;344,450
39;39;2004;1;2004-01-16;KVRDSS GFZWHZNCJQ;325,750;26,870;352,620
40;40;2004;1;2004-01-18;MXGOSN GGBPDWIQNN;233,080;19,230;252,310
41;41;2004;1;2004-01-23;EDCCWX FFQBBUSHLL;175,430;14,470;189,900
42;42;2004;1;2004-01-29;UTYILD HIFZIIIOVF;304,650;25,130;329,780
43;43;2004;1;2004-01-21;XMUEVC NGAWDYGVQK;23,550;1,940;25,490
44;44;2004;1;2004-01-16;MNDXWX JZAEYRJUGM;255,610;21,090;276,700
45;45;2004;1;2004-01-20;COJHAW IENNEQHDJN;50,670;4,180;54,850
46;46;2004;1;2004-01-29;XMQJCH AKIYUDDYFW;245,700;20,270;265,970
47;47;2004;1;2004-01-14;CMWGUB DAAKITBCWK;97,630;8,050;105,680
48;48;2004;1;2004-01-24;LJQRVB GFXLYWCIAX;279,490;23,060;302,550
49;49;2004;1;2004-01-28;VBSCIN KHPXBSGWOH;22,410;1,850;24,260
50;50;2004;1;2004-01-07;JOVGBE UAIUSVIYTR;160,400;13,230;173,630
51;51;2004;1;2004-01-07;AWBBRM VFJANNDSBO;103,250;8,520;111,770
52;52;2004;1;2004-01-17;TYVQQI LIBAYNXVOU;383,590;31,650;415,240
53;53;2004;1;2004-01-29;XTNZHE WPYJFXOBIQ;33,770;2,790;36,560
54;54;2004;1;2004-01-15;XKCQUY SQKDBWMVVK;311,010;25,660;336,670
55;55;2004;1;2004-01-24;KPFGIT BBZIQTNODT;38,570;3,180;41,750
56;56;2004;1;2004-01-15;ETBPNB PAOIIBXQER;261,620;21,580;283,200
57;57;2004;1;2004-01-04;GOQSVY BYIGKAEFQU;232,980;19,220;252,200
58;58;2004;1;2004-01-24;OBYQRH ATQEHSJWAY;15,310;1,260;16,570
59;59;2004;1;2004-01-03;NHZYTH JJXPWNYAOL;314,380;25,940;340,320
60;60;2004;1;2004-01-26;CEQCJS RRPQHONQBZ;368,630;30,410;399,040
61;61;2004;1;2004-01-26;NXMRSM OMLTJEVRKL;298,920;24,660;323,580
62;62;2004;1;2004-01-06;GDYLKT NFUUYSCUKB;125,200;10,330;135,530
63;63;2004;1;2004-01-15;IKJAOU NHQCENTDOG;79,890;6,590;86,480
64;64;2004;1;2004-01-05;ZHJGGD VWGCVBUZKO;224,410;18,510;242,920
65;65;2004;1;2004-01-09;ZAQGCR ULJQJANNDA;352,010;29,040;381,050
66;66;2004;1;2004-01-21;OWMIFS KLOIVQMBMD;130,290;10,750;141,040
67;67;2004;1;2004-01-10;EFFOYI SXLCUNINCJ;98,430;8,120;106,550
68;68;2004;1;2004-01-09;JQSHXZ PBVQDZSQBE;260,200;21,470;281,670
69;69;2004;1;2004-01-13;BHEUNB LWRNCIXQRG;335,200;27,650;362,850
70;70;2004;1;2004-01-15;ZVSAEK UQYGZOPQZZ;286,840;23,660;310,500
71;71;2004;1;2004-01-16;YNMLYG XPMUNISYNH;137,410;11,340;148,750
72;72;2004;1;2004-01-28;FMZLXA IBASBRUWSB;208,510;17,200;225,710
73;73;2004;1;2004-01-12;MTMDYO JTFLKCXVWN;170,630;14,080;184,710
74;74;2004;1;2004-01-04;UGSKGT ZZVEYECFFY;63,730;5,260;68,990
75;75;2004;1;2004-01-25;FLXAJV VXMAMUYVSC;29,460;2,430;31,890
76;76;2004;1;2004-01-15;XKOZSO MDMJHMAKGH;143,300;11,820;155,120
77;77;2004;1;2004-01-23;FHDXJA EHWTOCOZKE;348,820;28,780;377,600
78;78;2004;1;2004-01-01;UWKCDB UIAPWGJGTW;145,500;12,000;157,500
79;79;2004;1;2004-01-09;RGYPGB RDZQEQXSWD;62,090;5,120;67,210
80;80;2004;1;2004-01-12;CGICJM EOVQRRJMMO;206,960;17,070;224,030
81;81;2004;1;2004-01-08;XNRADC LRHTYAKWRM;289,600;23,890;313,490
82;82;2004;1;2004-01-07;UNXRGR NQOOTZALHD;311,140;25,670;336,810
83;83;2004;1;2004-01-17;AKRIHM CMPGDFNBOS;89,860;7,410;97,270
84;84;2004;1;2004-01-20;XKCXZC CFXXXGCAIZ;85,900;7,090;92,990
85;85;2004;1;2004-01-31;YKUEVP SBIBPLMSBE;257,810;21,270;279,080
86;86;2004;1;2004-01-25;BXTTNX REXQNIGOMN;282,120;23,270;305,390
87;87;2004;1;2004-01-04;BXGBYJ XMMAXPOFTU;310,360;25,600;335,960
88;88;2004;1;2004-01-25;UDMOEK XUYCSAQBZY;129,080;10,650;139,730
89;89;2004;1;2004-01-29;TYPBFL ANMPXKGIXG;0,020;0,000;0,020
90;90;2004;1;2004-01-21;PBVHWF VOUPUYPDQV;285,280;23,540;308,820
91;91;2004;1;2004-01-04;TKMCJF LETUHASVRY;234,000;19,300;253,310
92;92;2004;1;2004-01-24;CERVQZ VOJWLIMZRN;102,600;8,460;111,060
93;93;2004;1;2004-01-26;TJLQMU NJMAEZWJGR;277,000;22,850;299,850
94;94;2004;1;2004-01-02;OULYCG MXOTZODWJH;227,240;18,750;245,990
95;95;2004;1;2004-01-04;HEDABG QOZTTZKUMD;355,340;29,320;384,660
96;96;2004;1;2004-01-23;AQOFZQ SMQPAGOTZY;387,690;31,980;419,670
97;97;2004;1;2004-01-17;QVKDLD XCZDAAEZHD;258,740;21,350;280,090
98;98;2004;1;2004-01-13;YBQJBG MDCDAUTOGG;33,760;2,790;36,550
99;99;2004;1;2004-01-17;UVVJUW UKYBSZBPPA;395,800;32,650;428,450
100;100;2004;1;2004-01-13;WNYTYS BCZDQDVUFO;22,170;1,830;24,000
101;101;2004;1;2004-01-02;ONNVRC ATHHVQLXHW;131,740;10,870;142,610
102;102;2004;1;2004-01-21;BCNEQX TLWVIVOMQB;373,280;30,800;404,080
103;103;2004;1;2004-01-16;JLVOXI RKGPOJENXM;104,760;8,640;113,400
104;104;2004;1;2004-01-25;TFXJYS MMMNFSCDHD;245,220;20,230;265,450
105;105;2004;1;2004-01-31;QLGAOR ASIYITEUPE;245,310;20,240;265,550
106;106;2004;1;2004-01-19;KCWAVK IFFLVLMWKS;194,190;16,020;210,210
107;107;2004;1;2004-01-02;XOMHXD HTESLWLKPN;142,470;11,750;154,220
108;108;2004;1;2004-01-22;PGGBXI TUOQADYJEM;249,200;20,560;269,760
109;109;2004;1;2004-01-17;FYGWCI ASKIPIDRSE;317,510;26,190;343,700
110;110;2004;1;2004-01-23;GCKCTF PNADXBDTNE;200,010;16,500;216,510
111;111;2004;1;2004-01-24;PPKPEK RAEZQMVDKV;71,590;5,910;77,500
112;112;2004;1;2004-01-12;BWFEJW VOOPXKCLUQ;120,890;9,970;130,860
113;113;2004;1;2004-01-04;BPMMOI LUOAQJHBZJ;303,910;25,070;328,980
114;114;2004;1;2004-01-04;BFPWKH WUKCDMPUGQ;185,090;15,270;200,360
115;115;2004;1;2004-01-24;JECMUB YZQZPZQPQB;130,680;10,780;141,460
116;116;2004;1;2004-01-22;ASGCSX FHYTDLMUZM;59,960;4,950;64,910
117;117;2004;1;2004-01-06;DIXMRC IGRXGDTYFA;380,830;31,420;412,250
118;118;2004;1;2004-01-26;SZCWPG FSWDTBYEXU;231,990;19,140;251,130
119;119;2004;1;2004-01-06;HTYVFE WZYTHSIYCB;343,800;28,360;372,160
120;120;2004;1;2004-01-21;IXSHEN YAAVQVQUVR;40,580;3,350;43,930
121;121;2004;1;2004-01-19;VTSPVQ VSXRXWWBQF;390,720;32,230;422,950
122;122;2004;1;2004-01-12;MZIQXI VVRVUFPGIC;18,000;1,490;19,480
123;123;2004;1;2004-01-07;LESIEA UZBXQPZIDQ;184,310;15,210;199,520
124;124;2004;1;2004-01-15;PGVHNU EXCFPTSNXD;372,270;30,710;402,980
125;125;2004;1;2004-01-27;EXGBFA RMZMLPMLMD;363,880;30,020;393,900
126;126;2004;1;2004-01-29;UQZKMQ RZZPPRNZMS;132,880;10,960;143,840
127;127;2004;1;2004-01-04;GOSBXD HMSXBCSWTG;229,240;18,910;248,150
128;128;2004;1;2004-01-05;IASOXF BJLPLYZBOD;198,310;16,360;214,670
129;129;2004;1;2004-01-05;IXBBDZ NBKLAEKKPV;159,630;13,170;172,800
130;130;2004;1;2004-01-06;WHFTKL YJCNCGEZKA;179,610;14,820;194,430
131;131;2004;1;2004-01-01;TSBVZP NYNLCPXJAS;81,680;6,740;88,420
132;132;2004;1;2004-01-27;IEHVWL ALAPKBYHYS;285,010;23,510;308,520
133;133;2004;1;2004-01-04;XJJBWL BHVQTRZVTU;395,350;32,620;427,970
134;134;2004;1;2004-01-14;WHYLFG IODRXDYRUS;37,970;3,130;41,100
135;135;2004;1;2004-01-28;OHSPUX UPIRHXPQGQ;339,950;28,050;368,000
136;136;2004;1;2004-01-06;FEHOGS MBCFFZOWCN;374,120;30,860;404,980
137;137;2004;1;2004-01-25;VUGWZQ ZLEYQQDQXR;79,850;6,590;86,440
138;138;2004;1;2004-01-30;WFQHTN CDOPJBSAFO;63,210;5,210;68,420
139;139;2004;1;2004-01-21;BGIHRW AHJAUGOALQ;368,200;30,380;398,580
140;140;2004;1;2004-01-16;PLZCYF HAGXEBWSLN;34,430;2,840;37,270
141;141;2004;1;2004-01-28;HCEHET GCFEPYFVCS;20,750;1,710;22,460
142;142;2004;1;2004-01-03;TIELPJ LLRKZTUPOB;220,680;18,210;238,890
143;143;2004;1;2004-01-26;KNEXMJ QWSDZTVUGA;201,990;16,660;218,650
144;144;2004;1;2004-01-23;EYFACV AULRHBYKIT;135,580;11,190;146,770
145;145;2004;1;2004-01-19;WUKSSW YUPECVKBIX;19,980;1,650;21,630
146;146;2004;1;2004-01-29;LNDXIB PQJPDLSQOW;269,660;22,250;291,910
147;147;2004;1;2004-01-16;XHNILM VKTXLZSCXH;120,110;9,910;130,020
148;148;2004;1;2004-01-17;TPEOSF XCCUMVLFHV;362,040;29,870;391,910
149;149;2004;1;2004-01-19;RGWVCY LDJQSKQPNG;24,830;2,050;26,880
150;150;2004;1;2004-01-24;GLARSJ MVWBMBSBHL;122,950;10,140;133,090
151;151;2004;1;2004-01-30;JVPGBL HAGMRJSIET;239,520;19,760;259,280
152;152;2004;1;2004-01-06;MIKUOL RSRZCFKLQN;275,810;22,750;298,560
153;153;2004;1;2004-01-18;MQQQIW DQFRJANVAF;69,300;5,720;75,020
154;154;2004;1;2004-01-09;KXTYGC XFVQSNTWJD;226,650;18,700;245,350
155;155;2004;1;2004-01-26;HOAJHH NXAQIHXITO;39,010;3,220;42,230
156;156;2004;1;2004-01-16;SMGNLC ZZKPUAYZDN;126,780;10,460;137,240
157;157;2004;1;2004-01-05;HRLWXR NHXEXLGEQL;300,020;24,750;324,770
158;158;2004;1;2004-01-15;SGTEYG BHXUSFDGPE;192,950;15,920;208,870
159;159;2004;1;2004-01-24;UNITAC JEJSULLXQA;25,180;2,080;27,260
160;160;2004;1;2004-01-31;YAMRAO MALUJVKUMH;396,440;32,710;429,150
161;161;2004;1;2004-01-04;GBZUVN MHSTJXRFWR;242,350;19,990;262,340
162;162;2004;1;2004-01-09;XHPWCB JCWZHRNOHR;85,240;7,030;92,270
163;163;2004;1;2004-01-20;XLCORC RONOWBXFST;343,880;28,370;372,250
164;164;2004;1;2004-01-18;QKUSVS EIJMRZWLQZ;159,100;13,130;172,230
165;165;2004;1;2004-01-09;NJNKUE KZXPWTPIOY;167,520;13,820;181,340
166;166;2004;1;2004-01-21;VLKJVR UKUQPJQVVZ;37,640;3,110;40,750
167;167;2004;1;2004-01-12;SZHRRK JWEKFCBRDO;302,280;24,940;327,220
168;168;2004;1;2004-01-02;QCIXHY BGWXQQDDJP;375,650;30,990;406,640
169;169;2004;1;2004-01-23;NDWVCO XJMJOYDHMG;50,180;4,140;54,320
170;170;2004;1;2004-01-08;UVOOAP DUJZFQIRJB;94,430;7,790;102,220
171;171;2004;1;2004-01-10;VFRQUU OZKBRGLMKK;270,310;22,300;292,610
172;172;2004;1;2004-01-10;ERLLFA XRLPRWXKSV;285,640;23,570;309,210
173;173;2004;1;2004-01-29;OUNABF PSNDZJBKIH;359,560;29,660;389,220
174;174;2004;1;2004-01-12;SEWNOJ YUSFKETUXJ;66,710;5,500;72,210
175;175;2004;1;2004-01-27;XLYTMH SMPGHBBKYD;122,230;10,080;132,310
176;176;2004;1;2004-01-08;TTKOZK WAOVQAXCBX;363,110;29,960;393,070
177;177;2004;1;2004-01-03;TBDJKP NAJOQRYTBC;215,290;17,760;233,050
178;178;2004;1;2004-01-24;HGDADO ETAODFWBQH;391,270;32,280;423,550
179;179;2004;1;2004-01-09;AWZXRB XAACFMCDOR;269,120;22,200;291,320
180;180;2004;1;2004-01-07;RSDFWC GFQZDOSURI;293,030;24,170;317,200
181;181;2004;1;2004-01-31;DWTPZV QTVXUNNGWJ;52,500;4,330;56,830
182;182;2004;1;2004-01-15;YEHJHQ MNTEDMCOJU;316,190;26,090;342,280
183;183;2004;1;2004-01-21;IMKGWZ ZTXLEEKKXZ;108,450;8,950;117,400
184;184;2004;1;2004-01-21;RMJKPQ KCGXOVSHRE;311,850;25,730;337,580
185;185;2004;1;2004-01-13;DMMNKA ZWVAJGCLTJ;11,510;0,950;12,460
186;186;2004;1;2004-01-28;QESOVL BQMYXVQIFR;158,400;13,070;171,470
187;187;2004;1;2004-01-03;YJVODK HZZPQZERCX;325,170;26,830;352,000
188;188;2004;1;2004-01-28;UVBPDF EQLXWNJMGL;345,610;28,510;374,120
189;189;2004;1;2004-01-25;TADSTU RBTVPPMOKU;3,560;0,290;3,850
190;190;2004;1;2004-01-12;VRENFQ CYQZONGXVD;145,880;12,040;157,920
191;191;2004;1;2004-01-03;GVJSBJ HNBTLYBBEJ;290,910;24,000;314,910
192;192;2004;1;2004-01-05;LXBYGP CCFLTSZZEL;375,300;30,960;406,260
193;193;2004;1;2004-01-28;OGZSKU YUJVPNEKIY;290,630;23,980;314,610
194;194;2004;1;2004-01-13;TGZWUE CQTEMIUOJG;112,190;9,260;121,450
195;195;2004;1;2004-01-29;UMGUXN XKFITMJADE;211,240;17,430;228,670
196;196;2004;1;2004-01-04;OYYYQP WMICUUVBCR;184,450;15,220;199,670
197;197;2004;1;2004-01-22;LPKIYX AKPIEZSTCY;267,280;22,050;289,330
198;198;2004;1;2004-01-10;XSNDIB FZWXWPVPVR;369,560;30,490;400,050
199;199;2004;1;2004-01-04;BTNHFP HJKKDSIWLK;27,530;2,270;29,800
200;200;2004;1;2004-01-10;YKUEVP SBIBPLMSBE;3,750;0,310;4,060
201;201;2004;1;2004-01-28;TMONWG IBANNMSMZV;67,840;5,600;73,440
202;202;2004;1;2004-01-24;HKTSVH BNVCKQGELY;90,160;7,440;97,600
203;203;2004;1;2004-01-14;RGWJKM KKVUMBVQBH;307,950;25,410;333,360
204;204;2004;1;2004-01-19;ZOZHCY NYZGVCIATH;353,560;29,170;382,730
205;205;2004;1;2004-01-28;ROGTIO SNSOMQQOOK;187,400;15,460;202,860
206;206;2004;1;2004-01-05;IHYLVP ZOCKVUVJZM;304,090;25,090;329,180
207;207;2004;1;2004-01-26;LCDDZV RJDQLYCCCO;90,750;7,490;98,240
208;208;2004;1;2004-01-07;HWUYRH PZATCDAQOS;254,870;21,030;275,900
209;209;2004;1;2004-01-26;UXFAUH SYZTGWDBDS;296,500;24,460;320,960
210;210;2004;1;2004-01-23;WYIHQU FAJOCKOVZM;62,730;5,180;67,910
211;211;2004;1;2004-01-03;CDRZCL ONNCIRNZZS;397,420;32,790;430,210
212;212;2004;1;2004-01-20;LYJDEA LJGDDBTMYL;395,040;32,590;427,630
213;213;2004;1;2004-01-17;MBTWPK RMDARORHND;23,510;1,940;25,450
214;214;2004;1;2004-01-07;RVUXIC ELDRJIRGAF;331,610;27,360;358,970
215;215;2004;1;2004-01-27;EMUKYM ZBPDKURJAU;195,200;16,100;211,300
216;216;2004;1;2004-01-15;YOHMWO HELCJWMZTZ;255,130;21,050;276,180
217;217;2004;1;2004-01-16;HXMCBQ BNZTTSNWQX;388,430;32,050;420,480
218;218;2004;1;2004-01-17;RFPIHS XMVZNYSBWO;40,720;3,360;44,080
219;219;2004;1;2004-01-18;BHOBZI BEQZRGATZK;399,860;32,990;432,850
220;220;2004;1;2004-01-08;JYCZIQ ENNRSXPERP;309,750;25,550;335,300
221;221;2004;1;2004-01-19;LXQFLN KWDXXVMVFH;10,130;0,840;10,970
222;222;2004;1;2004-01-11;HUMWIY CSINIONWHM;265,360;21,890;287,250
223;223;2004;1;2004-01-18;UFPEBT SOOVWPHIMT;322,000;26,570;348,560
224;224;2004;1;2004-01-05;NUJQUH KWGFUTABSZ;330,240;27,240;357,480
225;225;2004;1;2004-01-23;WIXHFQ AJFBNRETBU;326,660;26,950;353,610
226;226;2004;1;2004-01-08;XLUNNG MMEYZZKCBD;20,960;1,730;22,690
227;227;2004;1;2004-01-08;SXZIBG RWOGKQPORP;375,970;31,020;406,990
228;228;2004;1;2004-01-21;LYBZGU HPDZQKOFUK;160,630;13,250;173,880
229;229;2004;1;2004-01-27;DLZLUR DGEZMDKWYY;286,030;23,600;309,630
230;230;2004;1;2004-01-29;ZWQMSE AXEDZGUJAS;24,340;2,010;26,350
231;231;2004;1;2004-01-18;INNMIN XBWJHJSUFC;343,880;28,370;372,250
232;232;2004;1;2004-01-24;VEVRLF DSSPHZMYPE;200,480;16,540;217,020
233;233;2004;1;2004-01-04;PODIFL FQSRBFKHYV;379,290;31,290;410,580
234;234;2004;1;2004-01-25;KWEFIA YCFGVUGKAT;194,140;16,020;210,160
235;235;2004;1;2004-01-23;YQMDOW GKJYAFKUHL;179,030;14,770;193,800
236;236;2004;1;2004-01-20;YCQRAX TATZZMSURE;152,220;12,560;164,780
237;237;2004;1;2004-01-18;DKUGBY CYHYLDCTMC;5,430;0,450;5,880
238;238;2004;1;2004-01-16;YPKQOJ FAFMKHDSNU;236,260;19,490;255,750
239;239;2004;1;2004-01-27;POKQTE IHRXYKBLST;32,850;2,710;35,560
240;240;2004;1;2004-01-31;DXEVJX RITWKMTEGT;171,680;14,160;185,840
241;241;2004;1;2004-01-24;KFWBIM VGTJDYRBRJ;246,340;20,320;266,660
242;242;2004;1;2004-01-17;ELNVDS SNHMFAFFNE;163,880;13,520;177,400
243;243;2004;1;2004-01-26;VGNNFC CDQPRWUVBJ;286,820;23,660;310,480
244;244;2004;1;2004-01-07;IQLXVY OZYWLHRYEQ;373,330;30,800;404,130
245;245;2004;1;2004-01-07;KRMEGA DWEXRPUMQF;394,240;32,520;426,760
246;246;2004;1;2004-01-10;ZEBIUZ XZNVIVVTGW;73,400;6,060;79,460
247;247;2004;1;2004-01-14;KIEZXL BAFYEYOCNT;177,290;14,630;191,920
248;248;2004;1;2004-01-06;YOMSJQ RKBCKNGDXP;251,050;20,710;271,760
249;249;2004;1;2004-01-29;GBHUXJ QYFSKXYGYW;378,590;31,230;409,820
250;250;2004;1;2004-01-15;YADSES ZPOXNMOGFD;322,050;26,570;348,620
251;251;2004;1;2004-01-22;XYNFPJ DTFRJIEZZY;395,410;32,620;428,030
252;252;2004;1;2004-01-26;LQZRHJ UQHXZEQKLW;351,460;29,000;380,460
253;253;2004;1;2004-01-13;ACBQPL VVOLQKPIZE;111,550;9,200;120,750
254;254;2004;1;2004-01-05;EFJGWN HJVJSDIWMV;333,690;27,530;361,220
255;255;2004;1;2004-01-30;ZIMEGX JTPBWOEOIT;15,900;1,310;17,210
256;256;2004;1;2004-01-30;YEWJXU QVVRHUCFKZ;293,280;24,200;317,480
257;257;2004;1;2004-01-11;AYRGQA IIBVAYAVLG;85,770;7,080;92,850
258;258;2004;1;2004-01-15;JTYEHU OWWHEXMCGC;72,850;6,010;78,860
259;259;2004;1;2004-01-20;NPERVS ZKRYUCVOKO;7,690;0,630;8,320
260;260;2004;1;2004-01-11;LLLNIU XCLIDZVMNS;206,340;17,020;223,360
261;261;2004;1;2004-01-15;KSKKVM MDIDNBFDSR;228,640;18,860;247,500
262;262;2004;1;2004-01-25;JHLGXH XXIJLDIKPJ;338,660;27,940;366,600
263;263;2004;1;2004-01-23;QZMDSD RCCOGLDKCK;168,580;13,910;182,490
264;264;2004;1;2004-01-21;LFTUMX ZLFMWDORVA;329,950;27,220;357,170
265;265;2004;1;2004-01-09;EJGIOR SDJWMFFURP;221,160;18,250;239,410
266;266;2004;1;2004-01-08;HNCJCB QORSLSPHXX;95,380;7,870;103,250
267;267;2004;1;2004-01-27;YUXQLK AAIBCECWEO;14,300;1,180;15,480
268;268;2004;1;2004-01-02;MIZTXQ WKDMDAPVJB;26,670;2,200;28,870
269;269;2004;1;2004-01-30;PXZHGH EFHLFYAFNM;268,880;22,180;291,060
270;270;2004;1;2004-01-01;ZDJFFA TXBFQOFRDV;31,860;2,630;34,490
271;271;2004;1;2004-01-09;AEOAUH RDMLLWHDRE;35,220;2,910;38,130
272;272;2004;1;2004-01-17;FPRGWZ ENROYYFZNV;188,090;15,520;203,610
273;273;2004;1;2004-01-07;POJKUS AVYVMOJPQQ;206,090;17,000;223,090
274;274;2004;1;2004-01-11;OTRJWW SWCIGQHCWE;224,080;18,490;242,570
275;275;2004;1;2004-01-07;SCCOZD XLVGQCLBHS;260,830;21,520;282,350
276;276;2004;1;2004-01-24;PCZDKZ MNUMSXQFRB;363,740;30,010;393,750
277;277;2004;1;2004-01-07;CZMNMI TUPHCEGAJE;240,930;19,880;260,810
278;278;2004;1;2004-01-14;TGXMLT NGOGYAJNMK;342,460;28,250;370,710
279;279;2004;1;2004-01-01;BLVRVB QOCLZKVHUT;9,040;0,750;9,790
280;280;2004;1;2004-01-08;IVAIHV ZMBRVGNCGI;310,840;25,640;336,480
281;281;2004;1;2004-01-26;DDZOXX BYMSZNXVCI;79,560;6,560;86,120
282;282;2004;1;2004-01-13;TIATZD YKPOUVXJJI;231,560;19,100;250,660
283;283;2004;1;2004-01-02;OXCUCQ IXJVPIEXDG;87,260;7,200;94,460
284;284;2004;1;2004-01-09;EQZERJ SOUNFBIVEU;97,000;8,000;105,000
285;285;2004;1;2004-01-16;HGAFJK IHGCSAMYAK;376,110;31,030;407,140
286;286;2004;1;2004-01-08;TWUFPZ NDDRRBKLTX;391,820;32,330;424,150
287;287;2004;1;2004-01-07;UFOKEQ VABEPKMRQW;6,490;0,540;7,030
288;288;2004;1;2004-01-06;OHQVYG XNGLSZTSLU;397,860;32,820;430,680
289;289;2004;1;2004-01-15;BYCJOD VQIXBNCFRV;166,280;13,720;180,000
290;290;2004;1;2004-01-09;RVUXIC ELDRJIRGAF;267,630;22,080;289,710
291;291;2004;1;2004-01-28;CNAGFG FZOPSYMOQJ;54,240;4,470;58,710
292;292;2004;1;2004-01-21;JBRAFC DMVKBOVSRF;31,380;2,590;33,970
293;293;2004;1;2004-01-05;WEZZVJ FXVWMYFGPJ;297,030;24,500;321,530
294;294;2004;1;2004-01-13;ASKWKK KXHBEEYCHR;62,670;5,170;67,840
295;295;2004;1;2004-01-01;JYGPWU RULUEEOSKL;361,870;29,850;391,720
296;296;2004;1;2004-01-15;JKWQSI ZCEHIMRZOB;7,120;0,590;7,710
297;297;2004;1;2004-01-26;FMEGIJ LXOUNADNKM;195,640;16,140;211,780
298;298;2004;1;2004-01-28;XEWGCV TZDXMSWGHN;143,120;11,810;154,930
299;299;2004;1;2004-01-05;EWAMKD TTFWEDVYEB;262,600;21,660;284,260
300;300;2004;1;2004-01-17;OGYNIH PKZZCTEGNZ;272,720;22,500;295,220
301;301;2004;1;2004-01-05;OFNOOL KAZJLDWPOA;98,240;8,100;106,340
302;302;2004;1;2004-01-09;SWRRYI XOIZPBACNN;132,420;10,920;143,340
303;303;2004;1;2004-01-24;OWWWZG YVLQQEAQBK;0,910;0,080;0,990
304;304;2004;1;2004-01-01;NOOYXM SSKTQNSKUV;58,920;4,860;63,780
305;305;2004;1;2004-01-01;XJFPHH PJRIANFFVE;397,260;32,770;430,030
306;306;2004;1;2004-01-28;PNJVAX OZLMWHFAMD;127,730;10,540;138,270
307;307;2004;1;2004-01-18;BBVXPE UJPHONBWYX;48,240;3,980;52,220
308;308;2004;1;2004-01-14;TZVAFL VDMAPHKGRX;343,930;28,370;372,300
309;309;2004;1;2004-01-07;DVLKCR MEXNXRXGKX;46,320;3,820;50,140
310;310;2004;1;2004-01-10;DMBYWJ VJBLQYVPXU;151,170;12,470;163,640
