Id;customerid;firstname;lastname;address1;address2;city;state;zip;country;region;email;phone;creditcardtype;creditcard;creditcardexpiration;username;password;age;income;gender;
14;14;AGUQVI;FFPCRUSFKI;3748672054 Dell Way;0;LGKNEOA;MA;44395;US;1;FFPCRUSFKI@dell.com;37486720540;4;33440035763196650;2011/07;user14;password;85;80000;M;
15;15;SIQANV;QQNKJSURDA;3354132892 Dell Way;0;BREQSOA;AK;37471;US;1;QQNKJSURDA@dell.com;33541328920;4;87179969078861190;2008/05;user15;password;66;100000;M;
16;16;IXEENV;RXEKSWOTYG;6914808178 Dell Way;0;YOYMOYU;SD;63504;US;1;RXEKSWOTYG@dell.com;69148081780;5;94226656742393980;2009/11;user16;password;61;80000;M;
17;17;UUGPME;UWWRKPPQOD;1436497137 Dell Way;0;PASNVNC;MO;55931;US;1;UWWRKPPQOD@dell.com;14364971370;5;44619256709702310;2011/06;user17;password;28;60000;F;
18;18;KASOVP;LMZBBQPFFQ;4002123087 Dell Way;0;YTMLWYY;VA;79031;US;1;LMZBBQPFFQ@dell.com;40021230870;3;29722245167940850;2010/12;user18;password;52;100000;M;
19;19;ELUTXG;TZIKOOQEMJ;6334227072 Dell Way;0;RXFPWCJ;GA;68186;US;1;TZIKOOQEMJ@dell.com;63342270720;4;63670645779930060;2008/07;user19;password;59;40000;F;
20;20;IAYPUX;YELMUQZEHW;7467996902 Dell Way;0;JXTMHYD;UT;66087;US;1;YELMUQZEHW@dell.com;74679969020;5;26565960193984210;2009/03;user20;password;32;80000;F;
21;21;DFYAED;MQXCPBKMLH;9981729052 Dell Way;0;GXOEALV;PA;42074;US;1;MQXCPBKMLH@dell.com;99817290520;1;57119353739544750;2009/08;user21;password;69;40000;M;
22;22;QIBTUS;RXITHVEPBC;5221450049 Dell Way;0;EGDPBXY;AR;93269;US;1;RXITHVEPBC@dell.com;52214500490;2;62831008411012600;2008/08;user22;password;52;100000;M;
23;23;NPSFGQ;NAYJFNKHRQ;8606105897 Dell Way;0;LGSIFTG;NY;11455;US;1;NAYJFNKHRQ@dell.com;86061058970;5;64068637988530110;2009/09;user23;password;56;100000;F;
24;24;GBNXPN;VYTIJBAAMH;1759698957 Dell Way;0;SVNMCEM;WA;13905;US;1;VYTIJBAAMH@dell.com;17596989570;2;74021938415244230;2011/02;user24;password;88;100000;F;
25;25;MTUAPT;TXCUYCHGVC;7232171147 Dell Way;0;THEYTCZ;TX;40738;US;1;TXCUYCHGVC@dell.com;72321711470;3;49095828561112290;2011/04;user25;password;61;20000;F;
26;26;JDRCWP;FRNIYTDANK;1757661798 Dell Way;0;FLEILAQ;CT;51575;US;1;FRNIYTDANK@dell.com;17576617980;4;80733908019028610;2011/11;user26;password;81;20000;F;
27;27;NEYCKP;QSOKVPXFUJ;6716835282 Dell Way;0;JCVKTYW;TN;74298;US;1;QSOKVPXFUJ@dell.com;67168352820;3;66219234266318390;2010/07;user27;password;67;20000;M;
28;28;PDDFUV;TERICXCMHF;6049066172 Dell Way;0;HRYFNUY;DC;36514;US;1;TERICXCMHF@dell.com;60490661720;4;88607243616133940;2009/09;user28;password;63;100000;M;
29;29;UAPQTU;HBWEEJLJQC;3449703700 Dell Way;0;IWPCUTK;LA;45481;US;1;HBWEEJLJQC@dell.com;34497037000;3;16141133331693710;2012/06;user29;password;82;80000;F;
30;30;MHFGOH;DTMMFWDHEA;2016678561 Dell Way;0;XHVQREB;WI;79755;US;1;DTMMFWDHEA@dell.com;20166785610;5;28653100226074460;2012/07;user30;password;66;60000;M;
31;31;XSKFVE;RIJNLQSLOA;4837704029 Dell Way;0;GESLGQF;KY;56291;US;1;RIJNLQSLOA@dell.com;48377040290;2;14541963981464500;2008/10;user31;password;82;100000;M;
32;32;HEJLWR;UKDLCPZCWE;1184575169 Dell Way;0;UIKLNTZ;WI;17967;US;1;UKDLCPZCWE@dell.com;11845751690;1;90809480044990800;2012/01;user32;password;48;20000;F;
33;33;UQBLKL;PVOFURBZMJ;1806894893 Dell Way;0;JYXCXWE;VT;93580;US;1;PVOFURBZMJ@dell.com;18068948930;5;97155523290857680;2010/01;user33;password;31;40000;M;
34;34;GTASJW;HORYQQLAZJ;7282866423 Dell Way;0;YCGUHES;MA;10625;US;1;HORYQQLAZJ@dell.com;72828664230;5;11051262486726040;2012/03;user34;password;64;20000;M;
35;35;RWHOEV;FCLWOLWXKY;4409192440 Dell Way;0;EEGJXQJ;NJ;56565;US;1;FCLWOLWXKY@dell.com;44091924400;3;72468195627443500;2008/08;user35;password;63;80000;M;
36;36;XGRSMU;EIIQEGADKF;3021789304 Dell Way;0;KUDADTN;MT;32229;US;1;EIIQEGADKF@dell.com;30217893040;3;90734979216940720;2012/03;user36;password;48;80000;F;
37;37;CMYWQG;FHLLHPWNZQ;5803405046 Dell Way;0;QZUKNIQ;OR;87777;US;1;FHLLHPWNZQ@dell.com;58034050460;3;18966640913859010;2012/04;user37;password;60;20000;M;
38;38;NYLUDS;GPAVMNUDEU;2906073166 Dell Way;0;YOHGFAC;OR;65430;US;1;GPAVMNUDEU@dell.com;29060731660;4;94568437519483280;2011/09;user38;password;71;40000;M;
39;39;ECUWIJ;WDWKYZOSXC;6284773018 Dell Way;0;AEIAGAQ;MO;74187;US;1;WDWKYZOSXC@dell.com;62847730180;2;49126594546251000;2009/07;user39;password;23;60000;M;
40;40;WIZGFD;CPBCDTZGTD;7725075074 Dell Way;0;OUKPLXI;AL;24179;US;1;CPBCDTZGTD@dell.com;77250750740;2;75760888573713610;2012/10;user40;password;46;80000;F;
41;41;JYINBY;ODBICICGXX;5021884093 Dell Way;0;RMJOUKS;NC;76640;US;1;ODBICICGXX@dell.com;50218840930;2;60237782057374720;2012/01;user41;password;69;40000;F;
42;42;BSBZHE;AQHJTNGQFT;7225708050 Dell Way;0;ATNKMCD;WA;51342;US;1;AQHJTNGQFT@dell.com;72257080500;4;57414429085329180;2009/12;user42;password;56;60000;M;
43;43;PKATLQ;AUKOBAUUAO;4599311991 Dell Way;0;ILAKOYW;ID;74576;US;1;AUKOBAUUAO@dell.com;45993119910;4;73629573271609850;2012/02;user43;password;49;60000;F;
44;44;LGYCHT;MWUNQPOEYZ;6118785825 Dell Way;0;FINDFUW;NJ;49850;US;1;MWUNQPOEYZ@dell.com;61187858250;3;57899649832397700;2012/01;user44;password;20;60000;F;
45;45;ZNPSZM;NNCDBHBAMK;3934871591 Dell Way;0;OQPJMFU;AR;78641;US;1;NNCDBHBAMK@dell.com;39348715910;1;83965787617489700;2009/06;user45;password;28;40000;M;
46;46;TBZFPM;ISOQTOCDDS;5928516639 Dell Way;0;TMFZGGS;NH;38220;US;1;ISOQTOCDDS@dell.com;59285166390;5;81437810440547770;2011/04;user46;password;75;60000;F;
47;47;URXHAP;VQJJTNNMGZ;1468092885 Dell Way;0;RFGYYVG;MO;79543;US;1;VQJJTNNMGZ@dell.com;14680928850;1;14394323127344250;2012/08;user47;password;45;80000;F;
48;48;HXIXSY;GCSTPEAPVF;5164479008 Dell Way;0;VUEQBRK;CO;85154;US;1;GCSTPEAPVF@dell.com;51644790080;5;51458182851783930;2012/07;user48;password;73;20000;F;
49;49;CAFAHI;TAYXBNTGIN;4483097562 Dell Way;0;LZPCJRY;TX;65999;US;1;TAYXBNTGIN@dell.com;44830975620;4;27678496656008060;2008/10;user49;password;67;40000;M;
50;50;XGCFAD;DXERQLZEWY;3309250755 Dell Way;0;TYILWEB;ID;87593;US;1;DXERQLZEWY@dell.com;33092507550;3;70162171958945700;2012/08;user50;password;53;100000;M;
51;51;PBXSEV;WWMHVQDUKC;8443500542 Dell Way;0;DWZHXGE;DE;70302;US;1;WWMHVQDUKC@dell.com;84435005420;1;38637173972092570;2009/12;user51;password;35;100000;M;
52;52;EPEZLA;LTVCXQNZTJ;3004564116 Dell Way;0;ZBGGFLX;AL;57677;US;1;LTVCXQNZTJ@dell.com;30045641160;2;51469144704751670;2010/03;user52;password;49;80000;M;
53;53;PPHQAA;MDYCQYVZXX;7102610410 Dell Way;0;GDCRBDF;ID;52077;US;1;MDYCQYVZXX@dell.com;71026104100;4;74029092621058230;2008/05;user53;password;58;80000;M;
54;54;WIZWUC;VXTTSTQPZU;1023603196 Dell Way;0;SRVVXDH;NE;86106;US;1;VXTTSTQPZU@dell.com;10236031960;4;26682837661355730;2010/05;user54;password;26;60000;M;
55;55;BHNECK;XVDQMTQHMH;3574669247 Dell Way;0;DHFGOUC;NE;51427;US;1;XVDQMTQHMH@dell.com;35746692470;1;87746502417139720;2009/07;user55;password;61;60000;M;
56;56;DQXOOT;REGLVOXDRF;4761523925 Dell Way;0;IYUCBJO;KS;53642;US;1;REGLVOXDRF@dell.com;47615239250;4;11670024679042390;2008/03;user56;password;79;20000;M;
57;57;TSKNJP;UVKITNAYWY;6110351941 Dell Way;0;SYABMIO;VT;15705;US;1;UVKITNAYWY@dell.com;61103519410;5;34082062430679800;2010/01;user57;password;26;20000;M;
58;58;NRECLZ;NUTBURXTJV;4833048217 Dell Way;0;TLICZGE;ND;25277;US;1;NUTBURXTJV@dell.com;48330482170;5;32291672909632320;2010/02;user58;password;19;20000;M;
59;59;EEGERB;XSWOPPYLJK;4842132323 Dell Way;0;UMKAQZE;AR;94176;US;1;XSWOPPYLJK@dell.com;48421323230;3;16092641465365880;2010/08;user59;password;82;80000;M;
60;60;DUNFRG;BGWRFHAPBM;9649127091 Dell Way;0;ZBCYGEX;NY;77389;US;1;BGWRFHAPBM@dell.com;96491270910;1;46115374835208060;2012/09;user60;password;34;100000;M;
61;61;TEFZGL;VXQCXGEKGG;8449346521 Dell Way;0;NFNRCEL;AR;37621;US;1;VXQCXGEKGG@dell.com;84493465210;5;14767913143150500;2008/11;user61;password;60;80000;F;
62;62;UTHGOF;WRDDWNJCBO;2219900888 Dell Way;0;PSQUDRC;WV;61548;US;1;WRDDWNJCBO@dell.com;22199008880;1;50487574641592800;2011/10;user62;password;55;60000;M;
63;63;VTDAQU;DTQRCTSRIL;1055097560 Dell Way;0;HCPZFOO;KS;64664;US;1;DTQRCTSRIL@dell.com;10550975600;1;48104015938006340;2010/07;user63;password;90;40000;F;
64;64;DJYXMR;OEUIWLRITU;5734550591 Dell Way;0;XSZMHHC;IL;41518;US;1;OEUIWLRITU@dell.com;57345505910;5;91458678604103640;2010/02;user64;password;32;80000;M;
65;65;DOAUDE;PLBACKUWHM;4563891355 Dell Way;0;VUUDXBM;MI;89266;US;1;PLBACKUWHM@dell.com;45638913550;5;12983335591852660;2010/07;user65;password;57;80000;F;
66;66;ONGTCS;UDVEXRMKNH;2559052903 Dell Way;0;ERFGEQD;ND;62223;US;1;UDVEXRMKNH@dell.com;25590529030;1;24501953795552250;2011/11;user66;password;39;40000;F;
67;67;OANHVR;CAOUMZIUEZ;4337782111 Dell Way;0;ZLDQOSF;OR;87650;US;1;CAOUMZIUEZ@dell.com;43377821110;3;76995060113258670;2011/09;user67;password;29;40000;M;
68;68;RNOIPO;XKBWSWASWL;2521982461 Dell Way;0;WMAORTL;AZ;29353;US;1;XKBWSWASWL@dell.com;25219824610;4;95461846725083900;2009/12;user68;password;69;100000;F;
69;69;GICVFN;XCFTCYPOUC;5621417868 Dell Way;0;PIUJUVO;WA;61844;US;1;XCFTCYPOUC@dell.com;56214178680;2;59082015007734300;2009/04;user69;password;20;60000;M;
70;70;DIUQFW;WYZUOOOQDX;4579724741 Dell Way;0;LMRHBQW;ND;90023;US;1;WYZUOOOQDX@dell.com;45797247410;4;22708593728020780;2010/03;user70;password;69;60000;M;
71;71;MFTJBS;IWHWKYZIJM;7151078438 Dell Way;0;AQNQNCO;VA;86660;US;1;IWHWKYZIJM@dell.com;71510784380;2;19094823682680720;2009/11;user71;password;66;100000;F;
72;72;LGDDOA;LLKJKTTXUK;5076143849 Dell Way;0;KLXNZVJ;NV;22494;US;1;LLKJKTTXUK@dell.com;50761438490;1;12946160552091890;2008/12;user72;password;27;60000;F;
73;73;HRTHDE;SNPLGMGRXR;5940442139 Dell Way;0;OKQJTHN;GA;42285;US;1;SNPLGMGRXR@dell.com;59404421390;2;36806369596160950;2011/11;user73;password;52;100000;M;
74;74;FGRJYE;YKLKQCIHRS;9144738893 Dell Way;0;YAMGORP;CO;97924;US;1;YKLKQCIHRS@dell.com;91447388930;4;84660124862566600;2009/09;user74;password;45;60000;M;
75;75;AYXFXH;QIYSQFJJEK;3559184079 Dell Way;0;VKZMABL;WA;86608;US;1;QIYSQFJJEK@dell.com;35591840790;2;62606993583031000;2011/11;user75;password;58;80000;M;
76;76;LXTTNB;RGSXQBBBWM;5843842130 Dell Way;0;AJNCULY;CA;77025;US;1;RGSXQBBBWM@dell.com;58438421300;4;67310454458929600;2008/06;user76;password;53;60000;F;
77;77;FIWHZC;ZXTBZUYMVH;8203956428 Dell Way;0;ZYCKXEE;ME;91924;US;1;ZXTBZUYMVH@dell.com;82039564280;3;40914741330780090;2009/01;user77;password;67;60000;F;
78;78;NUJQUH;KWGFUTABSZ;5901074984 Dell Way;0;DDWHHHF;CA;83709;US;1;KWGFUTABSZ@dell.com;59010749840;2;90495769213885080;2009/11;user78;password;38;80000;M;
79;79;RKMYUI;FZCYADRAHU;8947035148 Dell Way;0;WOCETEZ;IN;60391;US;1;FZCYADRAHU@dell.com;89470351480;3;50198425510898230;2008/04;user79;password;27;100000;M;
80;80;QULYZL;BYMFPMMKJA;7038885902 Dell Way;0;MNURNCF;MD;66172;US;1;BYMFPMMKJA@dell.com;70388859020;3;90862418888136760;2012/05;user80;password;59;60000;F;
81;81;AJEMKC;ZPSLCCVCPI;5684336516 Dell Way;0;XGWZMGQ;DC;85073;US;1;ZPSLCCVCPI@dell.com;56843365160;5;30712530943565070;2008/05;user81;password;47;20000;M;
82;82;OPEROU;KAWNVYDEWJ;4250067926 Dell Way;0;AWWHMAD;WY;98473;US;1;KAWNVYDEWJ@dell.com;42500679260;1;42822516052983700;2011/03;user82;password;26;40000;M;
83;83;HAJBLJ;XZEWCJSMJP;7328085613 Dell Way;0;IRBJVBI;DE;23592;US;1;XZEWCJSMJP@dell.com;73280856130;5;41879846821539110;2012/04;user83;password;29;20000;F;
84;84;NDTWBS;BYVKQHUGPM;8804140647 Dell Way;0;HZHJHLN;AK;45455;US;1;BYVKQHUGPM@dell.com;88041406470;5;70809346414171170;2008/12;user84;password;90;60000;F;
85;85;TKDMLB;HWSORYEDGE;9566648908 Dell Way;0;LPMWCMH;WV;36979;US;1;HWSORYEDGE@dell.com;95666489080;5;29942808202467860;2012/07;user85;password;39;80000;M;
86;86;KEKMMG;EAYCFBIJMY;8481905861 Dell Way;0;VJAIQAP;NH;10347;US;1;EAYCFBIJMY@dell.com;84819058610;3;57380524999462070;2008/03;user86;password;50;60000;F;
87;87;VAWCEX;AGDCPNPNJZ;1912388650 Dell Way;0;ORQOHFO;CO;79369;US;1;AGDCPNPNJZ@dell.com;19123886500;2;11354592037387190;2010/10;user87;password;49;40000;M;
88;88;IMYGNF;JPVWEIGDXX;7842002899 Dell Way;0;TMEZBHT;DC;54656;US;1;JPVWEIGDXX@dell.com;78420028990;4;33499150183051820;2008/02;user88;password;20;60000;M;
89;89;ZTBECR;ZZVIFZFDSR;3881306276 Dell Way;0;HSTOLWB;GA;61593;US;1;ZZVIFZFDSR@dell.com;38813062760;2;69115631124004730;2009/11;user89;password;34;40000;M;
90;90;HMTYMT;UVZTACMSJE;6012148553 Dell Way;0;LYPIAUX;KS;27127;US;1;UVZTACMSJE@dell.com;60121485530;4;18076527724042530;2011/12;user90;password;71;20000;F;
91;91;MAZFUU;ENVGZNQDZP;8338619980 Dell Way;0;TIPNFXS;RI;61453;US;1;ENVGZNQDZP@dell.com;83386199800;3;60873003248125320;2010/08;user91;password;22;20000;M;
92;92;BFKVKY;QQXEHBEWUM;5313838823 Dell Way;0;LISIBMX;UT;12099;US;1;QQXEHBEWUM@dell.com;53138388230;3;67403677902184430;2010/06;user92;password;36;60000;M;
93;93;RKAPBR;MGZOKVIXHR;7656402342 Dell Way;0;PQSCNPC;AK;98954;US;1;MGZOKVIXHR@dell.com;76564023420;3;46919963778927920;2012/02;user93;password;21;80000;M;
94;94;CGPUTV;THGPQDWHTM;1007417866 Dell Way;0;AVAPYAP;NY;61905;US;1;THGPQDWHTM@dell.com;10074178660;4;73481267355382450;2008/05;user94;password;35;20000;M;
95;95;VXIRRQ;XGHBCPUPPQ;9091236773 Dell Way;0;PFOQUGF;SD;91490;US;1;XGHBCPUPPQ@dell.com;90912367730;5;31537805418483910;2008/01;user95;password;78;100000;M;
96;96;EQPUNV;CPYRKNHACN;9652656132 Dell Way;0;PSIVXDS;SD;97822;US;1;CPYRKNHACN@dell.com;96526561320;5;98169919024221600;2011/12;user96;password;83;100000;M;
97;97;MTCIVR;GNBTVBWIQP;7278548154 Dell Way;0;QMMTEHS;DC;32789;US;1;GNBTVBWIQP@dell.com;72785481540;5;25577970389276740;2010/11;user97;password;70;20000;M;
98;98;UKMMQA;NKVPGDGVTS;1547526094 Dell Way;0;INXQFBX;WA;99947;US;1;NKVPGDGVTS@dell.com;15475260940;3;90111709530465320;2011/08;user98;password;57;60000;F;
99;99;ABRAPB;WEIZKETDNH;9885368844 Dell Way;0;ADNCALC;CA;95338;US;1;WEIZKETDNH@dell.com;98853688440;5;60155139761045580;2010/06;user99;password;59;60000;M;
100;100;FPCHLG;QLRUFUHMVL;9250484007 Dell Way;0;ZYLKBNJ;AL;45808;US;1;QLRUFUHMVL@dell.com;92504840070;3;86598994433879860;2010/02;user100;password;44;80000;M;
